aX,aY,aZ,gX,gY,gZ
0.176,-0.090,1.016,-0.793,-19.043,-4.517
0.152,-0.080,0.950,-0.732,-0.183,-4.028
0.154,-0.077,0.945,-0.549,1.038,-0.916
0.153,-0.061,0.938,-0.427,-0.244,1.770
0.157,-0.048,0.943,-1.221,-0.427,2.808
0.161,-0.033,0.933,-1.709,-0.244,3.540
0.170,-0.010,0.917,-1.526,0.183,4.028
0.165,0.002,0.905,-0.671,-0.244,3.296
0.162,0.004,0.909,-0.061,-1.160,1.892
0.155,-0.004,0.912,0.977,-1.709,0.427
0.150,-0.016,0.919,0.854,-2.197,-0.244
0.149,-0.021,0.924,1.404,-2.441,-0.122
0.150,-0.021,0.917,2.075,-2.441,0.488
0.151,-0.018,0.923,1.709,-2.747,1.160
0.146,-0.018,0.934,-0.061,-2.930,1.343
0.143,-0.006,0.938,-1.343,-2.686,1.831
0.148,0.018,0.930,-0.854,-2.319,2.563
0.150,0.034,0.923,0.305,-2.197,2.136
0.152,0.018,0.920,-0.122,-2.502,0.122
0.149,-0.000,0.929,-0.305,-2.930,-1.160
0.147,-0.008,0.937,-0.549,-3.296,-1.221
0.148,0.005,0.930,0.671,-2.991,-0.671
0.145,0.006,0.924,1.648,-2.808,-1.038
0.145,-0.008,0.933,0.916,-2.930,-2.136
0.147,-0.000,0.936,0.793,-2.747,-2.441
0.151,0.009,0.898,2.197,-1.770,-2.502
0.148,-0.031,0.887,1.282,-1.953,-4.578
0.146,-0.080,0.869,-2.014,-2.625,-6.592
0.139,-0.075,0.889,-5.615,-3.357,-5.249
0.132,-0.116,0.906,-4.150,-5.310,-4.883
0.142,-0.067,0.924,-2.625,-5.554,-1.953
0.145,-0.061,0.920,-2.686,-5.493,-1.282
0.129,-0.079,0.940,-3.235,-6.104,-2.075
0.145,-0.070,0.953,-0.183,-6.226,-0.732
0.138,-0.059,0.938,0.793,-5.005,-0.122
0.124,-0.089,0.932,-2.991,-4.028,-2.136
0.128,-0.074,0.999,-5.859,-4.456,-1.465
0.148,-0.042,1.065,-8.423,-3.296,-0.427
0.155,0.004,1.015,-6.897,2.808,0.610
0.161,0.029,0.935,-4.822,9.338,-0.061
0.190,0.008,0.862,-3.174,12.024,-2.991
0.170,-0.031,0.828,-4.395,10.132,-5.737
0.217,-0.021,0.808,-7.324,7.141,-5.554
0.188,0.039,0.792,-8.179,4.883,-3.967
0.183,0.047,0.798,-14.282,3.052,-6.409
0.171,0.084,0.826,-20.996,2.380,-9.460
0.160,0.091,0.738,-22.156,3.113,-12.024
0.115,0.157,0.776,-25.269,-1.343,-12.817
0.145,0.164,0.777,-28.870,-0.916,-15.015
0.103,0.012,0.731,-20.264,-1.343,-25.696
0.101,-0.121,0.755,-16.602,-7.141,-28.931
0.111,-0.176,0.838,-9.949,-18.494,-20.691
0.130,-0.156,0.992,-5.005,-29.419,-10.193
0.133,-0.104,1.133,-1.770,-33.508,-2.686
0.127,-0.017,1.196,3.235,-29.968,3.113
0.122,0.081,1.210,7.568,-23.804,7.812
0.107,0.139,1.207,11.047,-19.104,7.935
0.073,0.157,1.217,14.526,-17.151,5.493
0.025,0.121,1.297,12.085,-18.311,1.099
-0.011,0.069,1.409,9.094,-17.822,-1.160
-0.054,0.128,1.601,10.010,-16.479,1.770
-0.082,0.199,2.007,12.573,-16.907,3.784
-0.128,0.210,2.505,14.465,-10.437,1.099
-0.219,0.226,2.871,18.066,9.644,-0.977
-0.250,0.107,3.072,19.348,48.401,-7.568
-0.303,-0.110,2.912,14.099,103.088,-13.123
-0.317,-0.227,2.599,6.409,143.738,-8.301
-0.308,-0.147,2.484,2.075,162.842,2.136
-0.283,0.030,2.526,-3.479,171.631,9.338
-0.271,0.192,2.563,-4.883,186.829,7.324
-0.300,0.310,2.527,-3.418,211.304,-1.099
-0.340,0.328,2.470,-4.333,239.685,-13.733
-0.403,0.358,2.457,-5.188,267.090,-28.503
-0.478,0.390,2.318,0.366,300.537,-41.870
-0.532,0.219,2.067,4.944,336.304,-61.768
-0.593,0.013,1.823,0.488,367.859,-77.820
-0.660,-0.236,1.502,-11.719,400.940,-88.257
-0.669,-0.544,1.081,-23.010,433.044,-90.698
-0.641,-0.714,0.558,-35.461,456.604,-80.627
-0.543,-0.772,0.038,-51.880,464.539,-60.425
-0.460,-0.813,-0.413,-69.397,455.750,-40.161
-0.380,-0.849,-0.787,-90.271,430.969,-18.860
-0.292,-0.759,-0.956,-109.375,382.324,7.141
-0.187,-0.604,-0.927,-126.648,334.351,32.104
-0.120,-0.423,-0.875,-138.611,298.157,49.988
-0.078,-0.265,-0.747,-152.283,275.146,56.946
-0.051,-0.082,-0.625,-151.001,257.751,55.176
-0.021,0.129,-0.739,-125.000,251.526,50.781
0.011,0.164,-0.963,-100.525,245.850,37.476
0.087,0.029,-1.221,-82.642,230.530,19.470
0.147,-0.149,-1.470,-65.125,205.627,7.996
0.191,-0.266,-1.622,-49.316,170.593,7.690
0.288,-0.263,-1.665,-29.663,128.540,16.968
0.452,-0.158,-1.708,-10.010,89.355,26.611
0.597,0.041,-1.802,11.414,54.626,30.823
0.746,0.091,-1.763,19.409,16.235,22.278
0.878,-0.014,-1.636,19.653,-20.203,4.272
0.906,-0.097,-1.582,15.747,-42.908,-8.972
0.792,-0.219,-1.705,3.418,-53.589,-18.433
0.622,-0.329,-1.859,-5.127,-69.641,-20.691
0.510,-0.238,-1.920,-2.441,-101.440,-10.193
0.454,-0.104,-1.920,17.456,-144.104,0.916
0.342,-0.024,-1.632,31.494,-195.190,5.371
0.291,-0.060,-1.321,49.255,-236.328,4.883
0.229,-0.161,-1.267,73.730,-259.521,7.019
0.167,-0.147,-1.131,90.393,-279.480,13.794
0.105,-0.321,-1.209,102.295,-295.349,14.893
0.015,-0.279,-0.954,112.854,-327.148,23.987
-0.021,-0.203,-0.560,117.371,-351.013,28.748
-0.091,-0.304,-0.430,126.099,-350.891,25.879
-0.187,-0.322,-0.451,127.319,-346.741,33.569
-0.304,-0.117,-0.477,125.488,-353.088,49.438
-0.462,0.166,-0.382,122.009,-372.864,56.458
-0.690,0.370,-0.161,119.873,-398.743,49.438
-0.986,0.520,0.187,118.530,-426.086,36.316
-1.229,0.612,0.685,126.709,-451.782,22.827
-1.330,0.533,1.625,140.564,-480.103,6.531
-1.117,0.322,2.844,169.128,-501.343,-10.864
-0.822,0.310,3.802,215.027,-482.849,-13.123

-0.538,0.041,3.321,263.672,-250.793,-47.913
-0.650,-0.652,2.358,260.376,-161.499,-88.440
-0.703,-1.448,2.059,219.360,-139.954,-111.511
-0.687,-2.123,2.660,140.991,-165.771,-110.840
-0.676,-2.482,3.838,50.232,-183.655,-87.341
-0.661,-2.378,4.000,-33.752,-152.527,-48.584
-0.620,-2.120,4.000,-87.830,-59.753,-0.305
-0.656,-1.342,4.000,-115.234,55.115,43.396
-0.728,-0.917,4.000,-125.427,122.925,43.030
-0.725,-0.457,4.000,-114.685,163.513,40.649
-0.746,0.124,3.853,-86.304,201.355,41.565
-0.760,0.447,3.653,-47.424,234.863,26.550
-0.866,0.453,3.306,-11.108,272.156,3.296
-0.922,0.207,2.830,9.827,307.861,-21.606
-0.956,-0.262,2.588,2.625,323.181,-43.518
-0.933,-0.754,2.568,-22.217,329.712,-52.917
-0.910,-1.040,2.429,-56.030,351.868,-43.152
-0.920,-1.029,2.067,-87.708,385.498,-18.677
-0.930,-0.823,1.674,-112.549,416.809,8.179
-0.966,-0.505,1.297,-123.230,442.505,28.992
-1.048,-0.237,0.999,-120.850,462.402,38.330
-1.084,0.021,0.708,-115.051,480.530,34.180
-1.224,0.102,0.337,-115.112,502.014,15.381
-1.279,-0.066,-0.138,-108.826,519.226,-8.179
-1.302,-0.216,-0.616,-102.966,524.292,-20.142
-1.228,-0.310,-1.182,-95.642,507.446,-18.921
-1.062,-0.336,-1.535,-94.604,466.370,-10.986
-0.942,-0.360,-1.715,-106.323,418.335,-4.028
-0.772,-0.373,-1.824,-117.615,375.122,0.305
-0.604,-0.390,-2.029,-116.272,343.689,4.150
-0.370,-0.324,-2.340,-106.201,319.153,7.446
-0.143,-0.211,-2.721,-90.637,291.077,3.784
-0.000,-0.234,-3.113,-80.383,255.920,-12.268
0.082,-0.336,-3.401,-74.463,208.496,-31.189
0.198,-0.424,-3.543,-58.594,148.010,-43.274
0.277,-0.466,-3.516,-31.189,81.970,-48.645
0.287,-0.547,-3.336,-5.005,16.113,-51.819
0.239,-0.770,-3.053,15.381,-45.471,-53.772
0.218,-0.941,-2.710,33.020,-102.234,-45.166
0.198,-0.932,-2.373,48.767,-150.818,-23.376
0.183,-0.882,-2.080,57.068,-190.918,-1.099
0.160,-0.857,-1.816,55.481,-223.389,17.456
