aX,aY,aZ,gX,gY,gZ
0.093,0.043,0.906,-27.649,-8.362,5.859
-0.036,0.150,1.042,-96.924,51.208,43.762
0.121,0.298,0.741,23.071,83.252,76.050
0.277,0.296,0.278,218.994,88.623,85.083
0.279,0.422,0.399,100.098,46.265,50.781
0.268,0.157,0.398,44.800,7.629,0.610
0.241,-0.235,0.549,14.038,-20.935,-41.748
0.182,-0.556,0.731,-19.836,-41.199,-56.885
0.217,-0.742,0.882,-4.639,-51.086,-33.386
0.125,-0.723,1.103,12.024,-53.101,8.850
-0.066,-0.534,1.285,42.236,-45.532,57.556
-0.083,-0.339,1.405,62.378,-31.982,97.107
-0.183,-0.258,1.570,59.448,-18.555,121.765
-0.276,-0.219,1.674,105.591,2.747,150.635
0.042,-0.005,1.104,293.152,43.030,193.970
0.059,0.431,0.157,500.793,60.974,227.539
0.099,0.968,0.412,400.574,-3.662,206.970
0.098,0.897,0.738,261.658,-57.739,127.502
0.271,0.644,0.982,149.109,-73.730,46.387
0.365,0.246,0.897,36.011,-56.396,-7.324
0.213,-0.503,0.950,-79.163,-42.358,-48.401
0.190,-0.971,1.109,-114.624,-44.800,-56.091
0.168,-0.747,1.057,-92.651,-36.682,-19.775
0.186,-0.198,1.099,-55.725,-30.090,15.808
0.181,-0.059,1.105,-7.141,-23.865,13.855
0.135,-0.220,1.024,0.366,-9.399,-5.859
0.048,-0.461,0.886,10.986,2.502,-13.916
0.034,-0.488,0.904,29.297,-1.587,-0.793
0.018,-0.425,1.046,46.082,-13.000,21.484
0.047,-0.230,1.267,56.091,-20.020,42.175
0.075,-0.088,1.323,63.538,-12.085,52.429
0.154,0.011,1.184,52.917,5.127,49.133
0.216,0.167,0.953,15.381,18.982,41.443
0.136,0.366,0.894,-31.067,24.902,23.071
0.119,0.162,0.967,-26.611,20.142,-6.714
0.145,-0.072,1.024,-29.480,18.127,-28.015
0.040,-0.171,0.975,-52.612,20.813,-28.687
0.144,-0.434,0.885,-47.974,18.311,-25.879
0.173,-0.707,0.948,-20.325,3.845,-26.733
0.171,-0.727,0.966,7.996,-0.793,-10.437
0.149,-0.599,0.984,26.611,3.479,17.578
0.132,-0.649,1.004,51.331,6.958,32.410
0.178,-0.712,0.875,86.914,14.160,40.955
0.176,-0.618,0.785,87.769,18.677,57.190
0.141,-0.444,0.846,65.369,13.733,70.435
0.185,-0.265,0.912,49.133,11.475,75.623
0.202,0.042,0.912,27.649,14.587,72.632
0.205,0.400,1.010,-12.268,16.479,58.472
0.188,0.547,1.100,-42.725,21.667,22.095
0.143,0.385,1.144,-93.689,33.447,-28.992
0.151,0.087,1.137,-134.949,45.898,-76.782
0.187,-0.263,1.104,-148.865,56.519,-103.149
0.245,-0.605,0.868,-146.118,67.688,-109.070
0.274,-0.741,0.693,-144.470,65.674,-97.595
